emag_offer_id,emag_product_id,product_name,currency,sale_price,stock,is_available,account_type,updated_at
1208,1208,"Amplificator audio stereo 2x40W, XY-P40W, DC 5-24V",RON,39.0,0,True,fbe,2025-09-22 17:53:16.429635
1209,1209,"Amplificator audio stereo 2x30W, DY-AP3015, DC 8-24V",RON,32.0,5,True,fbe,2025-09-22 17:53:16.429635
1277,1277,Amplificator audio stereo 5W+5W cu Bluetooth 4.2 si incarcare baterie litiu 3.7V,RON,30.0,0,True,fbe,2025-09-22 17:53:16.429635
1221,1221,"Amplificator audio stereo 2x100W, TDA7293, AC 12-32V",RON,148.0,5,True,fbe,2025-09-22 17:53:16.429635
1222,1222,"Amplificator audio stereo 2x15W cu filtru si circuit de rectificare, TDA1521",RON,32.0,0,True,fbe,2025-09-22 17:53:16.429635
1242,1242,"Modul stereo preamplificator pentru microfon, AD828, DC 5-15V",RON,24.0,0,True,fbe,2025-09-22 17:53:16.429635
1236,1236,"Amplificator audio stereo 2x50W cu Bluetooth, TPA3116D2, XH-M422",RON,59.0,0,True,fbe,2025-09-22 17:53:16.429635
1205,1205,"Amplificator audio stereo 2x220W sau mono 350W cu TPA3251D2, DC 36V, XY-AP2202",RON,149.0,0,True,fbe,2025-09-22 17:53:16.429635
1260,1260,"Amplificator audio stereo 2x39W cu TDA7379 si preamplificator NE5532, DC 9–17.5V",RON,34.0,0,True,fbe,2025-09-22 17:53:16.429635
1206,1206,"Amplificator audio mono 35W, TDA8932, DC 24V, 10-30V",RON,31.0,0,True,fbe,2025-09-22 17:53:16.429635
1207,1207,"Amplificator audio mono 60W, TPA3118, SOP-28, XH-M313",RON,30.0,0,True,fbe,2025-09-22 17:53:16.429635
1114,1114,"Preamplificator corector de ton 2.1 canale cu control volum, inalte si subwoofer, NE5532",RON,47.0,5,True,fbe,2025-09-22 17:53:11.478797
1202,1202,"Amplificator audio stereo 2x3W, PAM8403 cu Bluetooth 5.0 si USB-C",RON,33.0,0,True,fbe,2025-09-22 17:53:11.478797
1199,1199,"Decodor MP3 cu amplificator audio mono 2W, card microSD, GPD2846A, DC 3.7-5V",RON,30.0,4,True,fbe,2025-09-22 17:53:11.478797
1203,1203,"Amplificator microfon digital cu TDA1308, preamplificator 40dB, DC 3–6V",RON,30.0,0,True,fbe,2025-09-22 17:53:11.478797
1200,1200,"Amplificator audio stereo 2x3W cu Bluetooth si microUSB, SW-HF43",RON,30.0,0,True,fbe,2025-09-22 17:53:11.478797
1102,1102,"Amplificator audio MAX98357, I2S mono compatibil cu Arduino, ESP32 si Raspberry Pi",RON,30.0,5,True,fbe,2025-09-22 17:53:11.478797
1105,1105,"Filtru de alimentare EMI EMC pentru amplificator audio, 20A, AC 220V",RON,79.0,1,True,fbe,2025-09-22 17:53:11.478797
1106,1106,"Filtru de alimentare EMI EMC pentru amplificator audio, 10A, AC 220V",RON,69.0,0,True,fbe,2025-09-22 17:53:11.478797
1107,1107,"Filtru de alimentare EMI EMC pentru amplificator audio, 4A, AC 220V",RON,59.0,0,True,fbe,2025-09-22 17:53:11.478797
1109,1109,"Amplificator audio mono 150W cu TPA3116D2, subwoofer sau full-range, XH-M571",RON,78.0,0,True,fbe,2025-09-22 17:53:11.478797
1110,1110,"Amplificator audio stereo 2x150W cu TPA3116D2, XH-M641",RON,109.0,1,True,fbe,2025-09-22 17:53:11.478797
1111,1111,"Amplificator audio stereo 2x50W cu TPA3116D2, XH-M643",RON,79.0,0,True,fbe,2025-09-22 17:53:11.478797
1063,1063,"Preamplificator audio XH-A902 cu NE5532, 2 canale, DC 12-30V",RON,30.0,5,True,fbe,2025-09-22 17:53:05.796573
1072,1072,"Amplificator audio mono 600W cu TPA3255, DC 32-46V cu comutare subwoofer sau full-range",RON,229.0,1,True,fbe,2025-09-22 17:53:05.796573
1094,1094,"Preamplificator corector de ton audio stereo realizat cu NE5532 si LM1036, DC 12-24V sau AC 9-16V",RON,87.0,1,True,fbe,2025-09-22 17:53:05.796573
1038,1038,"Decodor MP3 cu amplificator 2x3W, radio FM, Bluetooth 5.0 si card microSD, DC 4.2-12V",RON,37.0,0,True,fbe,2025-09-22 17:53:05.796573
1055,1055,"Amplificator audio stereo 2x100W cu 2 integrate TDA7293, AC 20-26V",RON,19.76,0,True,fbe,2025-09-22 17:53:05.796573
1056,1056,"Amplificator audio stereo 2x100W cu TDA7498, carcasa din aluminiu",RON,18.31,0,True,fbe,2025-09-22 17:53:05.796573
1058,1058,"Amplificator audio mono 420W cu TDA8954TH, XH-M253",RON,33.89,0,True,fbe,2025-09-22 17:53:05.796573
1059,1059,"Amplificator audio stereo 2x80W cu TPA3116D2, XH-M577",RON,8.42,0,True,fbe,2025-09-22 17:53:05.796573
1061,1061,"Amplificator audio mono 150W cu TPA3116D2, XH-M544",RON,5.92,0,True,fbe,2025-09-22 17:53:05.796573
998,998,"Decodor MP3 Bluetooth cu amplificator audio 2x3W, radio FM, USB si card microSD, DC 5-32V",RON,44.0,0,True,fbe,2025-09-22 17:52:59.357433
918,918,"Amplificator audio stereo 2x3W cu PAM8403, XH-A154",RON,30.0,0,True,fbe,2025-09-22 17:52:59.357433
927,927,"Amplificator audio stereo 2x600W cu TPA3255, DC 19-50V",RON,335.0,1,True,fbe,2025-09-22 17:52:59.357433
939,939,"Amplificator audio stereo 2x40W cu TDA7377 si preamplificator AD828, DC 12-15V",RON,75.0,0,True,fbe,2025-09-22 17:52:59.357433
985,985,"Preamplificator audio dual NE5532, filtru 4700 µF, AC 5-16V / DC 6-24V",RON,36.0,0,True,fbe,2025-09-22 17:52:59.357433
815,815,"Amplificator audio mono 600W pentru subwoofer cu TPA3255 si OPA1632DR, DC 48V",RON,469.0,0,True,fbe,2025-09-22 17:52:53.440361
818,818,"Amplificator audio mono 5W cu LTK5128, clasa AB",RON,30.0,8,True,fbe,2025-09-22 17:52:53.440361
829,829,"Modul decodor MP3/WAV cu card TF, AUX si USB pentru preamplificator, DC 3.4-24V",RON,38.0,0,True,fbe,2025-09-22 17:52:53.440361
830,830,"Placa preamplificator subwoofer cu filtru bass low-pass DC 12-24V, NE5532",RON,30.0,4,True,fbe,2025-09-22 17:52:53.440361
837,837,"Amplificator de semnal AD620 Microvolt, gama 1.5-1000X, DC 3-12V",RON,30.0,19,True,fbe,2025-09-22 17:52:53.440361
838,838,"Amplificator audio stereo 2x15W cu TPA3110D2, DC 8-26V",RON,24.0,11,True,fbe,2025-09-22 17:52:53.440361
844,844,"Amplificator audio stereo 2.1 cu TAS5630, 2x150W + 300W, DC 48V",RON,289.0,1,True,fbe,2025-09-22 17:52:53.440361
847,847,"Amplificator audio stereo 2x210W cu TDA8954TH, XH-M251",RON,275.0,1,True,fbe,2025-09-22 17:52:53.440361
846,846,"Amplificator audio stereo 2x420W cu TDA8954TH, XH-M258",RON,439.0,4,True,fbe,2025-09-22 17:52:53.440361
848,848,"Filtru de alimentare de interferente electromagnetice EMI pentru amplificator audio, 20A, AC 220V",RON,99.0,0,True,fbe,2025-09-22 17:52:53.440361
870,870,"Amplificator audio stereo 2x15W cu potentiometru, PAM8610",RON,30.0,6,True,fbe,2025-09-22 17:52:53.440361
805,805,"Amplificator audio mono 30W cu LM1875, DC 12-32V",RON,30.0,17,True,fbe,2025-09-22 17:52:53.440361
814,814,"Amplificator audio stereo 2x15W, Bluetooth 4.2 cu TPA3110, DC 10-25V",RON,39.0,3,True,fbe,2025-09-22 17:52:53.440361
758,758,Amplificator audio stereo 2x38W cu CD7379,RON,30.0,12,True,fbe,2025-09-22 17:52:47.566600
769,769,"Amplificator audio stereo 2x160W, Bluetooth 5.0 cu TDA7498, XY-C160H",RON,164.0,1,True,fbe,2025-09-22 17:52:47.566600
766,766,"Amplificator audio stereo 2x420W cu TDA8954TH, AC 24V",RON,429.0,0,True,fbe,2025-09-22 17:52:47.566600
770,770,"Circuit integrat amplificator audio stereo 2x30W, TDA7377, ZIP-15",RON,33.0,0,True,fbe,2025-09-22 17:52:47.566600
773,773,"Amplificator microfon electret MAX4466, DC 2.4-5.5V",RON,22.0,10,True,fbe,2025-09-22 17:52:47.566600
